Strain,Stress(Mpa)
0.000585551,98.09790779
0.000585932,98.19862658
0.000586312,98.29934536
0.000586692,98.40006415
0.000587072,98.50078293
0.000587453,98.60150172
0.000587833,98.70222051
0.000588213,98.80293929
0.000588593,98.90365808
0.000588973,99.00437686
0.000589354,99.10509565
0.000589734,99.20581443
0.000590114,99.30653322
0.000590494,99.407252
0.000590875,99.50797079
0.000591255,99.60868957
0.000591635,99.70940836
0.000592015,99.81012714
0.000592396,99.91084593
0.000592776,100.0115647
0.000593156,100.1122835
0.000593536,100.1986061
0.000593916,100.2849286
0.000594297,100.3712512
0.000594677,100.4575738
0.000595057,100.5438964
0.000595437,100.6302189
0.000595818,100.7165415
0.000596198,100.8028641
0.000596578,100.8891866
0.000596958,100.9755092
0.000597339,101.0618318
0.000597719,101.1481543
0.000598099,101.2344769
0.000598479,101.3207995
0.000598859,101.4071221
0.00059924,101.4934446
0.00059962,101.5797672
0.0006,101.6660898
0.00060038,101.7524123
0.000600761,101.8387349
0.000601141,101.9250575
0.000601521,102.01138
0.000601901,102.0977026
0.000602282,102.1840252
0.000602662,102.2703478
0.000603042,102.3566703
0.000603422,102.4429929
0.000603803,102.5293155
0.000604183,102.615638
0.000604563,102.7019606
0.000604943,102.773887
0.000605323,102.8458133
0.000605704,102.9177397
0.000606084,102.989666
0.000606464,103.0615924
0.000606844,103.1335187
0.000607225,103.2054451
0.000607605,103.2773714
0.000607985,103.3492978
0.000608365,103.4212241
0.000608746,103.4931505
0.000609126,103.5650768
0.000609506,103.6370032
0.000609886,103.7089295
0.000610267,103.7808559
0.000610647,103.8527822
0.000611027,103.9247086
0.000611407,103.9966349
0.000611787,104.0685613
0.000612168,104.1404876
0.000612548,104.212414
0.000612928,104.2843403
0.000613308,104.3562667
0.000613689,104.428193
0.000614069,104.5001194
0.000614449,104.5720457
0.000614829,104.6439721
0.00061521,104.7158984
0.00061559,104.7878248
0.00061597,104.8597511
0.00061673,104.9748114
0.000617491,105.0898716
0.000618251,105.2049319
0.000619012,105.3199922
0.000619772,105.4350524
0.000620533,105.5501127
0.000621293,105.6651729
0.000622053,105.7802332
0.000622814,105.8952935
0.000623574,106.0103537
0.000624335,106.125414
0.000625095,106.2404743
0.000625856,106.3555345
0.000626616,106.4705948
0.000627377,106.5856551
0.000628137,106.7007153
0.000628897,106.8157756
0.000629658,106.9308358
0.000630418,107.0458961
0.000631179,107.1609564
0.000631939,107.2760166
0.0006327,107.3910769
0.00063346,107.5061372
0.00063422,107.6211974
0.000634981,107.7362577
0.000635741,107.8513179
0.000636502,107.9663782
0.000637262,108.0814385
0.000638023,108.1964987
0.000638783,108.311559
0.000639543,108.3978268
0.000640304,108.4840947
0.000641064,108.5703625
0.000641825,108.6566303
0.000642585,108.7428982
0.000643346,108.829166
0.000644106,108.9154338
0.000644867,109.0017016
0.000645627,109.0879695
