Strain,Stress (MPa)
0.000348298,57.94113633
0.000348547,58.04195481
0.000348796,58.1427733
0.000349044,58.24359178
0.000349293,58.34441027
0.000349542,58.44522875
0.00034979,58.54604724
0.000350039,58.64686572
0.000350288,58.74768421
0.000350536,58.84850269
0.000350785,58.94932118
0.000351034,59.05013966
0.000351282,59.15095815
0.000351531,59.25177663
0.000351779,59.35259512
0.000352028,59.4534136
0.000352277,59.55423209
0.000352525,59.65505057
0.000352774,59.75586906
0.000353023,59.85668754
0.000353271,59.95750603
0.00035352,60.05832451
0.000353769,60.159143
0.000354017,60.25996148
0.000354266,60.36077997
0.000354515,60.46159845
0.000354763,60.56241694
0.000355012,60.66323542
0.000355261,60.76405391
0.000355509,60.86487239
0.000355758,60.96569088
0.000356007,61.06650936
0.000356255,61.16732785
0.000356504,61.26814633
0.000356753,61.36896482
0.000357001,61.4697833
0.00035725,61.57060179
0.000357983,61.65301358
0.000358716,61.73542537
0.000359449,61.81783716
0.000360182,61.90024895
0.000360915,61.98266074
0.000361648,62.06507253
0.000362381,62.14748432
0.000363114,62.22989612
0.000363847,62.31230791
0.00036458,62.3947197
0.000365313,62.47713149
0.000366046,62.55954328
0.000366779,62.64195507
0.000367512,62.72436686
0.000368245,62.80677865
0.000368978,62.88919044
0.000369711,62.97160223
0.000370444,63.05401402
0.000371177,63.13642581
0.00037191,63.2188376
0.000372643,63.30124939
0.000373376,63.38366118
0.000374109,63.46607297
0.000374841,63.54848477
0.000375574,63.63089656
0.000376307,63.71330835
0.00037704,63.79572014
0.000377773,63.87813193
0.000378506,63.96054372
0.000379239,64.04295551
0.000379972,64.1253673
0.000380705,64.20777909
0.000381438,64.29019088
0.000382171,64.37260267
0.000382904,64.45501446
0.000383637,64.53742625
0.00038437,64.61983804
0.000385103,64.70224983
0.000385836,64.78466162
0.000386569,64.86707342
0.000387302,64.94948521
0.000388035,65.031897
0.000388768,65.11430879
0.000389501,65.19672058
0.000390234,65.27913237
0.000390967,65.36154416
0.0003917,65.44395595
0.000392189,65.50806563
0.000392678,65.57217531
0.000393168,65.63628499
0.000393657,65.70039467
0.000394146,65.76450435
0.000394635,65.82861403
0.000395124,65.89272371
0.000395613,65.95683339
0.000396103,66.02094307
0.000396592,66.08505275
0.000397081,66.14916243
0.00039757,66.21327211
0.000398059,66.27738179
0.000398548,66.34149147
0.000399038,66.40560115
0.000399527,66.46971083
0.000400016,66.53382051
0.000400505,66.59793019
0.000400994,66.66203987
0.000401483,66.72614955
0.000401973,66.79025923
0.000402462,66.85436891
0.000402951,66.91847859
0.00040344,66.98258826
0.000403929,67.04669794
0.000404418,67.11080762
0.000404908,67.1749173
0.000405397,67.23902698
0.000405886,67.30313666
0.000406375,67.36724634
0.000406864,67.43135602
0.000407353,67.4954657
0.000407843,67.55957538
0.000408332,67.62368506
0.000408821,67.68779474
0.00040931,67.75190442
0.000409799,67.8160141
0.000410288,67.88012378
0.000410778,67.94423346
0.000411267,68.00834314
0.000411756,68.07245282
0.000412245,68.1365625
0.000412734,68.20067218
0.000413223,68.26478186
0.000413713,68.32889154
0.000414202,68.39300122
0.000414691,68.4571109
0.000414939,68.53959241
0.000415186,68.62207393
0.000415434,68.70455544
0.000415681,68.78703695
0.000415929,68.86951846
0.000416176,68.95199998
0.000416424,69.03448149
0.000416672,69.116963
0.000416919,69.19944452
0.000417167,69.28192603
0.000417414,69.36440754
0.000417662,69.44688906
0.000417909,69.52937057
0.000418157,69.61185208
0.000418405,69.69433359
0.000418652,69.77681511
0.0004189,69.85929662
0.000419147,69.94177813
0.000419395,70.02425965
0.000419642,70.10674116
0.00041989,70.18922267
0.000420138,70.27170419
0.000420385,70.3541857
0.000420633,70.43666721
0.00042088,70.51914872
0.000421128,70.60163024
0.000421376,70.68411175
0.000421623,70.76659326
0.000421871,70.84907478
0.000422118,70.93155629
0.000422366,71.0140378
0.000422613,71.09651932
0.000422861,71.17900083
0.000423109,71.26148234
0.000423356,71.34396385
0.000423604,71.42644537
0.000423851,71.50892688
0.000424099,71.59140839
0.000424346,71.67388991
0.000424594,71.75637142
0.000424842,71.83885293
0.000425089,71.92133445
0.000425337,72.00381596
0.000425584,72.08629747
0.000425832,72.16877898
0.000426079,72.2512605
0.000426327,72.33374201
0.000427059,72.40698531
0.000427792,72.48022862
0.000428524,72.55347192
0.000429257,72.62671523
0.000429989,72.69995853
0.000430722,72.77320184
0.000431454,72.84644514
0.000432186,72.91968845
0.000432919,72.99293175
0.000433651,73.06617506
0.000434384,73.13941836
0.000435116,73.21266167
0.000435849,73.28590497
0.000436581,73.35914828
0.000437313,73.43239158
0.000438046,73.50563488
0.000438778,73.57887819
0.000439511,73.65212149
0.000440243,73.7253648
0.000440976,73.7986081
0.000441708,73.87185141
0.00044244,73.94509471
0.000443173,74.01833802
0.000443905,74.09158132
0.000444638,74.16482463
0.00044537,74.23806793
0.000446102,74.31131124
0.000446835,74.38455454
0.000447567,74.45779785
0.0004483,74.53104115
0.000449032,74.60428446
0.000449765,74.67752776
0.000450497,74.75077106
0.000451229,74.82401437
0.000451962,74.89725767
0.000452694,74.97050098
0.000453427,75.04374428
0.000454159,75.11698759
0.000454892,75.19023089
0.000455624,75.2634742
0.000456356,75.3367175
0.000457089,75.40996081
0.000457821,75.48320411
0.000458554,75.55644742
0.000459286,75.62969072
0.000460019,75.70293403
0.000460751,75.77617733
0.000460755,75.84952522
0.00046076,75.92287311
0.000460764,75.99622099
0.000460768,76.06956888
0.000460773,76.14291677
0.000460777,76.21626466
0.000460781,76.28961255
0.000460786,76.36296043
0.00046079,76.43630832
0.000460794,76.50965621
0.000460799,76.5830041
0.000460803,76.65635199
0.000460807,76.72969988
0.000460812,76.80304776
0.000460816,76.87639565
0.00046082,76.94974354
0.000460825,77.02309143
0.000460829,77.09643932
0.000460833,77.1697872
0.000460838,77.24313509
0.000460842,77.31648298
0.000460846,77.38983087
0.000460851,77.46317876
0.000460855,77.53652664
0.00046086,77.60987453
0.000460864,77.68322242
0.000460868,77.75657031
0.000460873,77.8299182
0.000460877,77.90326608
0.000460881,77.97661397
0.000460886,78.04996186
0.00046089,78.12330975
0.000460894,78.19665764
0.000460899,78.27000552
0.000460903,78.34335341
0.000460907,78.4167013
0.000460912,78.49004919
0.000460916,78.56339708
0.00046092,78.63674497
0.000460925,78.71009285
0.000460929,78.78344074
0.000460933,78.85678863
0.000460938,78.93013652
0.000460942,79.00348441
0.000460946,79.07683229
0.000460951,79.15018018
0.000460955,79.22352807
0.000461687,79.29677137
0.00046242,79.37001468
0.000463152,79.44325798
0.000463885,79.51650129
0.000464617,79.58974459
0.00046535,79.6629879
0.000466082,79.7362312
0.000466814,79.80947451
0.000467547,79.88271781
0.000468279,79.95596112
0.000469012,80.02920442
0.000469744,80.10244773
0.000470477,80.17569103
0.000471209,80.24893434
0.000471941,80.32217764
0.000472674,80.39542094
0.000473406,80.46866425
0.000474139,80.54190755
0.000474871,80.61515086
0.000475604,80.68839416
0.000476336,80.76163747
0.000477068,80.83488077
0.000477801,80.90812408
0.000478533,80.98136738
0.000479266,81.05461069
0.000479998,81.12785399
0.00048073,81.2010973
0.000481463,81.2743406
0.000482195,81.34758391
0.000482928,81.42082721
0.00048366,81.49407052
0.000484393,81.56731382
0.000485125,81.64055712
0.000485857,81.71380043
0.00048659,81.78704373
0.000487322,81.86028704
0.000488055,81.93353034
0.000488787,82.00677365
0.00048952,82.08001695
0.000490252,82.15326026
0.000490984,82.22650356
0.000491717,82.29974687
0.000492449,82.37299017
0.000493182,82.44623348
0.000493914,82.51947678
0.000494647,82.59272009
0.000495379,82.66596339
0.000496113,82.76671215
0.000496847,82.86746092
0.000497581,82.96820968
0.000498315,83.06895844
0.000499049,83.1697072
0.000499783,83.27045597
0.000500517,83.37120473
0.000501251,83.47195349
0.000501985,83.57270225
0.000502719,83.67345102
0.000503453,83.77419978
0.000504188,83.87494854
0.000504922,83.9756973
0.000505656,84.07644607
0.00050639,84.17719483
0.000507124,84.27794359
